datetime,temp,precip,cloudcover,solarradiation
2017-06-01T00:00:00,58.1,0,56.4,0
2017-06-01T01:00:00,57.3,0,48.8,0
2017-06-01T02:00:00,57.1,0,84,0
2017-06-01T03:00:00,56.8,0.01,71,0
2017-06-01T04:00:00,56.3,0,21,0
2017-06-01T05:00:00,54.7,0,51.3,20
2017-06-01T06:00:00,55.4,0,57.1,150.6
2017-06-01T07:00:00,57.8,0,5,333.9
2017-06-01T08:00:00,60.5,0.06,42.8,521.5
2017-06-01T09:00:00,62.7,0,13.8,691
2017-06-01T10:00:00,65.6,0,43.4,821.8
2017-06-01T11:00:00,69,0,0,911.5
2017-06-01T12:00:00,71.9,0,0,952.3
2017-06-01T13:00:00,74.9,0,0,946
2017-06-01T14:00:00,75.6,0,5,873.8
2017-06-01T15:00:00,72.7,0,29.4,736
2017-06-01T16:00:00,64.3,0.08,50,577
2017-06-01T17:00:00,66.5,0,76.7,397.1
2017-06-01T18:00:00,68.2,0,44.6,220.4
2017-06-01T19:00:00,66.5,0,60.8,62.8
2017-06-01T20:00:00,63.8,0,8.8,0.3
2017-06-01T21:00:00,61.2,0,16.1,0
2017-06-01T22:00:00,58.8,0,0,0
2017-06-01T23:00:00,57.2,0,0,0
2017-06-02T00:00:00,56.6,0,0,0
2017-06-02T01:00:00,57.5,0,0,0
2017-06-02T02:00:00,58.3,0,0,0
2017-06-02T03:00:00,57.4,0,13.8,0
2017-06-02T04:00:00,53.8,0,19,0
2017-06-02T05:00:00,52.3,0,34.8,23.4
2017-06-02T06:00:00,51.2,0,0,167.5
2017-06-02T07:00:00,56.5,0,0,359.6
2017-06-02T08:00:00,60.2,0,0,553.5
2017-06-02T09:00:00,62.9,0,0,726.8
2017-06-02T10:00:00,65.6,0,0,863.8
2017-06-02T11:00:00,67,0,0,955
2017-06-02T12:00:00,68,0,13.8,990.5
2017-06-02T13:00:00,67.5,0,35.4,965
2017-06-02T14:00:00,69.1,0,24.9,869.8
2017-06-02T15:00:00,69,0,35.4,731.8
2017-06-02T16:00:00,62.9,0.02,42.4,575.8
2017-06-02T17:00:00,62.4,0.02,84.6,387.1
2017-06-02T18:00:00,59.8,0.03,85.3,187.6
2017-06-02T19:00:00,58.2,0,52.4,39.6
2017-06-02T20:00:00,57.5,0,73,0.2
2017-06-02T21:00:00,55.1,0,78,0
2017-06-02T22:00:00,54.8,0,25.8,0
2017-06-02T23:00:00,53.3,0,0,0
2017-06-03T00:00:00,53.2,0,0,0
2017-06-03T01:00:00,51,0,0,0
2017-06-03T02:00:00,49,0,0,0
2017-06-03T03:00:00,45.8,0,0,0
2017-06-03T04:00:00,45.2,0,0,0
2017-06-03T05:00:00,44.8,0,0,25
2017-06-03T06:00:00,45.5,0,0,151
2017-06-03T07:00:00,53.5,0,0,246.3
2017-06-03T08:00:00,57.7,0,0,344.6
2017-06-03T09:00:00,60.4,0,0,565.3
2017-06-03T10:00:00,62.5,0,28.6,675.3
2017-06-03T11:00:00,64.1,0,29.8,724.8
2017-06-03T12:00:00,63.8,0,89.9,590
2017-06-03T13:00:00,63.7,0,68.5,377.3
2017-06-03T14:00:00,62.3,0,60.9,414.4
2017-06-03T15:00:00,60.9,0.01,84.2,453.8
2017-06-03T16:00:00,64,0,60.7,344.5
2017-06-03T17:00:00,64.5,0,84,261
2017-06-03T18:00:00,64.4,0,68.4,182.6
2017-06-03T19:00:00,62.4,0,76.6,48.4
2017-06-03T20:00:00,59.7,0,84,0.3
2017-06-03T21:00:00,57.5,0,97,0
2017-06-03T22:00:00,56.9,0,97.1,0
2017-06-03T23:00:00,55.9,0,90.8,0
2017-06-04T00:00:00,55.5,0,83.6,0
2017-06-04T01:00:00,54.1,0,17.8,0
2017-06-04T02:00:00,51.6,0,0,0
2017-06-04T03:00:00,50,0,0,0
2017-06-04T04:00:00,50.8,0,0,0
2017-06-04T05:00:00,48,0,0,25
2017-06-04T06:00:00,49,0,0,168
2017-06-04T07:00:00,55.6,0,0,322.5
2017-06-04T08:00:00,59.2,0,0,474.3
2017-06-04T09:00:00,62.4,0,0,674
2017-06-04T10:00:00,64.5,0,9,841
2017-06-04T11:00:00,66.5,0,27.6,889.5
2017-06-04T12:00:00,68.6,0,29.9,854.5
2017-06-04T13:00:00,68.9,0,22.8,855
2017-06-04T14:00:00,66.8,0,53.3,763.8
2017-06-04T15:00:00,65.5,0,44.4,404
2017-06-04T16:00:00,64.8,0,38.8,169.8
2017-06-04T17:00:00,63.8,0,61,82.3
2017-06-04T18:00:00,62.5,0,98.1,32.3
2017-06-04T19:00:00,60,0,85.1,26.6
2017-06-04T20:00:00,58,0.01,100,0.2
2017-06-04T21:00:00,56.8,0.02,89.1,0
2017-06-04T22:00:00,56.3,0.03,75.5,0
2017-06-04T23:00:00,56,0.07,77.7,0
2017-06-05T00:00:00,56,0.06,98.9,0
2017-06-05T01:00:00,56,0,100,0
2017-06-05T02:00:00,55.7,0.04,88,0
2017-06-05T03:00:00,55.6,0.01,93.7,0
2017-06-05T04:00:00,54.2,0.04,80.7,0
2017-06-05T05:00:00,54.7,0.04,73.6,4.7
2017-06-05T06:00:00,55.3,0,75.6,30.3
2017-06-05T07:00:00,55.7,0.01,87.9,74.6
2017-06-05T08:00:00,55.7,0.01,87.9,128.3
2017-06-05T09:00:00,57,0,100,217.9
2017-06-05T10:00:00,57,0,100,417
2017-06-05T11:00:00,57.3,0,100,540
2017-06-05T12:00:00,56.6,0,100,449.3
2017-06-05T13:00:00,57.1,0,100,385.1
2017-06-05T14:00:00,56.9,0,100,343.8
2017-06-05T15:00:00,56.2,0,100,278.4
2017-06-05T16:00:00,55.6,0,100,194.6
2017-06-05T17:00:00,55,0,100,118.7
2017-06-05T18:00:00,54.7,0,100,64.5
2017-06-05T19:00:00,54.5,0,100,17.9
2017-06-05T20:00:00,54.2,0.02,100,0.1
2017-06-05T21:00:00,54,0.02,100,0
2017-06-05T22:00:00,54,0.05,95.6,0
2017-06-05T23:00:00,53.5,0.06,100,0
2017-06-06T00:00:00,53.5,0.07,100,0
2017-06-06T01:00:00,53.5,0.07,100,0
2017-06-06T02:00:00,53.5,0.03,100,0
2017-06-06T03:00:00,53.3,0.07,100,0
2017-06-06T04:00:00,53.3,0.04,100,0
2017-06-06T05:00:00,52.6,0.02,100,8.3
2017-06-06T06:00:00,51.6,0.01,100,73.3
2017-06-06T07:00:00,51.5,0.02,100,184.3
2017-06-06T08:00:00,50.6,0.05,100,318.5
2017-06-06T09:00:00,50.9,0.01,100,465.1
2017-06-06T10:00:00,51,0.01,100,495.4
2017-06-06T11:00:00,50.9,0.01,100,486.4
2017-06-06T12:00:00,50.3,0.02,98.9,413.4
2017-06-06T13:00:00,49.6,0.04,96.1,361.9
2017-06-06T14:00:00,50,0.02,94.1,300.1
2017-06-06T15:00:00,50.4,0.01,94.1,211.7
2017-06-06T16:00:00,49.4,0.01,98.1,143.1
2017-06-06T17:00:00,49,0.01,100,88.5
2017-06-06T18:00:00,48.4,0,97.1,52.3
2017-06-06T19:00:00,48.8,0,95.2,13.8
2017-06-06T20:00:00,49.2,0.03,100,0.1
2017-06-06T21:00:00,49.8,0.04,91.5,0
2017-06-06T22:00:00,49.8,0.04,95.2,0
2017-06-06T23:00:00,49.6,0.02,88.6,0
2017-06-07T00:00:00,49.6,0.01,94.1,0
2017-06-07T01:00:00,49.6,0.01,88.1,0
2017-06-07T02:00:00,49.2,0.01,96.1,0
2017-06-07T03:00:00,49.4,0.02,82.1,0
2017-06-07T04:00:00,49.4,0.01,90.8,0
2017-06-07T05:00:00,50,0,96.1,5.9
2017-06-07T06:00:00,50,0,81,59.3
2017-06-07T07:00:00,51.2,0,93.7,156.5
2017-06-07T08:00:00,52.1,0,85.4,287.6
2017-06-07T09:00:00,54.2,0,73.6,450.9
2017-06-07T10:00:00,56.9,0,91.5,598
2017-06-07T11:00:00,59.8,0,87.9,721.5
2017-06-07T12:00:00,59.7,0,79.7,756.8
2017-06-07T13:00:00,60.7,0,74.5,843.3
2017-06-07T14:00:00,60.7,0,94.5,892.3
2017-06-07T15:00:00,62.6,0,0,780.8
2017-06-07T16:00:00,62.1,0,0,627.5
2017-06-07T17:00:00,62.1,0,0,447.6
2017-06-07T18:00:00,62.1,0,0,257
2017-06-07T19:00:00,61.4,0,0,81
2017-06-07T20:00:00,56.7,0,0,0.8
2017-06-07T21:00:00,50.8,0,0,0
2017-06-07T22:00:00,48.5,0,0,0
2017-06-07T23:00:00,47,0,0,0
2017-06-08T00:00:00,44.9,0,0,0
2017-06-08T01:00:00,44.4,0,0,0
2017-06-08T02:00:00,43.5,0,0,0
2017-06-08T03:00:00,44.1,0,0,0
2017-06-08T04:00:00,43.3,0,0,0
2017-06-08T05:00:00,42.4,0,28.6,28.7
2017-06-08T06:00:00,43.3,0,0,177.9
2017-06-08T07:00:00,52,0,0,357.1
2017-06-08T08:00:00,57.6,0,0,541
2017-06-08T09:00:00,60.4,0,0,701.5
2017-06-08T10:00:00,63.7,0,0,791.5
2017-06-08T11:00:00,65.9,0,0,767.5
2017-06-08T12:00:00,67.6,0,0,806.3
2017-06-08T13:00:00,68.1,0,0,983.3
2017-06-08T14:00:00,67.2,0,0,878
2017-06-08T15:00:00,65.7,0,0,609.3
2017-06-08T16:00:00,65.5,0,0,267.9
2017-06-08T17:00:00,63.1,0,0,138.9
2017-06-08T18:00:00,60.9,0,0,78.2
2017-06-08T19:00:00,59.9,0,0,23.8
2017-06-08T20:00:00,57.8,0,0,0.2
2017-06-08T21:00:00,56.6,0,0,0
2017-06-08T22:00:00,56,0,9,0
2017-06-08T23:00:00,55.9,0,60.4,0
2017-06-09T00:00:00,55.9,0,77.7,0
2017-06-09T01:00:00,54.9,0.01,81,0
2017-06-09T02:00:00,54.3,0.01,90.1,0
2017-06-09T03:00:00,54.3,0.02,82.5,0
2017-06-09T04:00:00,53.9,0.03,66.8,0
2017-06-09T05:00:00,53.9,0.01,93.7,17.7
2017-06-09T06:00:00,54,0.02,84,107.4
2017-06-09T07:00:00,54.2,0.01,64.7,241
2017-06-09T08:00:00,55.9,0,78,514
2017-06-09T09:00:00,58.5,0.01,80.1,721.8
2017-06-09T10:00:00,62.7,0,30.2,861.8
2017-06-09T11:00:00,66,0,8.8,957.3
2017-06-09T12:00:00,69.3,0,8.8,999
2017-06-09T13:00:00,71.7,0,0,982.8
2017-06-09T14:00:00,71.7,0,0,906.8
2017-06-09T15:00:00,75.4,0,0,752.8
2017-06-09T16:00:00,74.4,0,29.9,535.8
2017-06-09T17:00:00,66,0.06,63.1,344.3
2017-06-09T18:00:00,66.6,0.01,25,189.3
2017-06-09T19:00:00,65.9,0,9,53.1
2017-06-09T20:00:00,64.2,0,16,0.7
2017-06-09T21:00:00,61.2,0,0,0
2017-06-09T22:00:00,60.5,0,0,0
2017-06-09T23:00:00,59.3,0,0,0
2017-06-10T00:00:00,60.6,0,0,0
2017-06-10T01:00:00,60.3,0,0,0
2017-06-10T02:00:00,57,0,0,0
2017-06-10T03:00:00,56,0,0,0
2017-06-10T04:00:00,56.2,0,0,0
2017-06-10T05:00:00,54.6,0,0,26.2
2017-06-10T06:00:00,55.8,0,13.8,165.2
2017-06-10T07:00:00,62.4,0,0,344.5
2017-06-10T08:00:00,70.2,0,0,515.8
2017-06-10T09:00:00,74,0,0,690
2017-06-10T10:00:00,76.4,0,0,832
2017-06-10T11:00:00,78.6,0,0,919
2017-06-10T12:00:00,78.2,0,0,964.5
2017-06-10T13:00:00,78.7,0,13.8,927.8
2017-06-10T14:00:00,78.4,0,13.8,881.3
2017-06-10T15:00:00,78.4,0,0,764.8
2017-06-10T16:00:00,77.9,0,0,606.5
2017-06-10T17:00:00,75.6,0,0,421.8
2017-06-10T18:00:00,74.1,0,0,232.8
2017-06-10T19:00:00,71.9,0,0,70.2
2017-06-10T20:00:00,70.9,0,13.8,0.8
2017-06-10T21:00:00,69.5,0,0,0
2017-06-10T22:00:00,68,0,0,0
2017-06-10T23:00:00,67,0,0,0
2017-06-11T00:00:00,65.9,0,0,0
2017-06-11T01:00:00,64.7,0,0,0
2017-06-11T02:00:00,63.9,0,0,0
2017-06-11T03:00:00,62.8,0,0,0
2017-06-11T04:00:00,61.7,0,0,0
2017-06-11T05:00:00,61.9,0,0,24.9
2017-06-11T06:00:00,62.3,0,13.8,160.9
2017-06-11T07:00:00,65,0,0,342.1
2017-06-11T08:00:00,69,0,0,525.5
2017-06-11T09:00:00,74,0,0,692.8
2017-06-11T10:00:00,77.9,0,0,829
2017-06-11T11:00:00,81.6,0,0,920.5
2017-06-11T12:00:00,83.1,0,0,962.8
2017-06-11T13:00:00,82,0,0,948.8
2017-06-11T14:00:00,80.2,0,0,877.5
2017-06-11T15:00:00,80.5,0,0,757.5
2017-06-11T16:00:00,80.2,0,0,593.8
2017-06-11T17:00:00,79.3,0,0,420.9
2017-06-11T18:00:00,79.9,0,0,242.8
2017-06-11T19:00:00,77.7,0,0,75
2017-06-11T20:00:00,74.6,0,0,0.9
2017-06-11T21:00:00,72.2,0,0,0
2017-06-11T22:00:00,70.3,0,0,0
2017-06-11T23:00:00,68.8,0,0,0
2017-06-12T00:00:00,67.7,0,0,0
2017-06-12T01:00:00,66.7,0,0,0
2017-06-12T02:00:00,65.6,0,0,0
2017-06-12T03:00:00,64.9,0,0,0
2017-06-12T04:00:00,64.3,0,0,0
2017-06-12T05:00:00,62.8,0,0,27.1
2017-06-12T06:00:00,64.2,0,0,166.6
2017-06-12T07:00:00,69.8,0,0,348.3
2017-06-12T08:00:00,77.5,0,0,533.8
2017-06-12T09:00:00,82.6,0,0,702.8
2017-06-12T10:00:00,85.6,0,0,839.3
2017-06-12T11:00:00,87.5,0,0,930.3
2017-06-12T12:00:00,88.5,0,0,968.8
2017-06-12T13:00:00,89.7,0,0,953.5
2017-06-12T14:00:00,90.2,0,0,883.8
2017-06-12T15:00:00,89.2,0,0,769.5
2017-06-12T16:00:00,89.3,0,0,617.3
2017-06-12T17:00:00,88.2,0,0,438.6
2017-06-12T18:00:00,85.6,0,0,248.9
2017-06-12T19:00:00,83.2,0,0,77.8
2017-06-12T20:00:00,79.9,0,0,1
2017-06-12T21:00:00,76.5,0,0,0
2017-06-12T22:00:00,74.9,0,0,0
2017-06-12T23:00:00,75.7,0,0,0
2017-06-13T00:00:00,71.4,0,0,0
2017-06-13T01:00:00,70.3,0,0,0
2017-06-13T02:00:00,70.4,0,0,0
2017-06-13T03:00:00,67.6,0,0,0
2017-06-13T04:00:00,66.3,0,0,0
2017-06-13T05:00:00,65.2,0,0,27.2
2017-06-13T06:00:00,65.9,0,0,163.9
2017-06-13T07:00:00,73.4,0,0,341.6
2017-06-13T08:00:00,80.5,0,0,526.5
2017-06-13T09:00:00,84.4,0,0,693.3
2017-06-13T10:00:00,86.9,0,0,832
2017-06-13T11:00:00,88.9,0,0,910.3
2017-06-13T12:00:00,89.6,0,42.8,947.8
2017-06-13T13:00:00,90.9,0,0,925.3
2017-06-13T14:00:00,92.3,0,0,845.5
2017-06-13T15:00:00,91.2,0,44.4,719
2017-06-13T16:00:00,90.4,0,53.4,552.8
2017-06-13T17:00:00,87.7,0,44.4,325.8
2017-06-13T18:00:00,86.1,0,53.5,87.3
2017-06-13T19:00:00,80.7,0,50.9,16.9
2017-06-13T20:00:00,76.5,0.03,64.5,0.2
2017-06-13T21:00:00,75.8,0,29.9,0
2017-06-13T22:00:00,74.4,0,66.5,0
2017-06-13T23:00:00,76.2,0,84.7,0
2017-06-14T00:00:00,73.4,0,70.1,0
2017-06-14T01:00:00,70.1,0.01,84.5,0
2017-06-14T02:00:00,68.3,0.01,72.5,0
2017-06-14T03:00:00,67.1,0,82.5,0
2017-06-14T04:00:00,66.7,0,62.8,0
2017-06-14T05:00:00,66.5,0,86.1,25.2
2017-06-14T06:00:00,64.3,0,46.6,136.2
2017-06-14T07:00:00,67.1,0,53.3,347.4
2017-06-14T08:00:00,70.8,0,5,544.5
2017-06-14T09:00:00,71.3,0,0,718.3
2017-06-14T10:00:00,71.8,0,0,849.8
2017-06-14T11:00:00,71.8,0,0,933.8
2017-06-14T12:00:00,72.2,0,5,968.3
2017-06-14T13:00:00,72.3,0,0,948
2017-06-14T14:00:00,73.5,0,0,795
2017-06-14T15:00:00,72.8,0,0,708.5
2017-06-14T16:00:00,71.1,0,0,609
2017-06-14T17:00:00,70.3,0,0,432
2017-06-14T18:00:00,68.4,0,0,241.3
2017-06-14T19:00:00,64.8,0,0,77.3
2017-06-14T20:00:00,62.1,0,0,1.2
2017-06-14T21:00:00,59.6,0,0,0
2017-06-14T22:00:00,57.8,0,0,0
2017-06-14T23:00:00,55.4,0,0,0
2017-06-15T00:00:00,52.6,0,0,0
2017-06-15T01:00:00,51.8,0,0,0
2017-06-15T02:00:00,51.4,0,0,0
2017-06-15T03:00:00,48.8,0,0,0
2017-06-15T04:00:00,48.2,0,28.6,0
2017-06-15T05:00:00,47.9,0,8.8,25.6
2017-06-15T06:00:00,48.9,0,0,157.6
2017-06-15T07:00:00,57.8,0,0,354.3
2017-06-15T08:00:00,62.4,0,0,524.3
2017-06-15T09:00:00,65,0,5,710.3
2017-06-15T10:00:00,66.1,0,0,856
2017-06-15T11:00:00,67.4,0,0,939.3
2017-06-15T12:00:00,68.4,0,0,979.5
2017-06-15T13:00:00,69.1,0,0,965
2017-06-15T14:00:00,69.1,0,0,896
2017-06-15T15:00:00,68.3,0,0,778.8
2017-06-15T16:00:00,68.1,0,0,622.3
2017-06-15T17:00:00,67.6,0,0,434.9
2017-06-15T18:00:00,65.8,0,0,248.5
2017-06-15T19:00:00,64.2,0,0,79.8
2017-06-15T20:00:00,61.7,0,0,1.2
2017-06-15T21:00:00,59.4,0,0,0
2017-06-15T22:00:00,58.3,0,0,0
2017-06-15T23:00:00,58.6,0,24.9,0
2017-06-16T00:00:00,58.6,0,60.4,0
2017-06-16T01:00:00,59.4,0,65,0
2017-06-16T02:00:00,60,0,78.5,0
2017-06-16T03:00:00,60.3,0,95.6,0
2017-06-16T04:00:00,61.1,0,96.5,0
2017-06-16T05:00:00,61.1,0,98.9,18
2017-06-16T06:00:00,61.1,0,100,129.1
2017-06-16T07:00:00,61.2,0,35.4,293.4
2017-06-16T08:00:00,63.5,0,5,437.3
2017-06-16T09:00:00,65,0,47.3,611.8
2017-06-16T10:00:00,65.8,0,76.5,805.3
2017-06-16T11:00:00,66.8,0,54.9,914.8
2017-06-16T12:00:00,68.1,0,66.2,886.5
2017-06-16T13:00:00,68.8,0,64.1,661.3
2017-06-16T14:00:00,67.7,0,95.2,489.5
2017-06-16T15:00:00,65.5,0,100,376.8
2017-06-16T16:00:00,63.1,0.01,98.9,228.4
2017-06-16T17:00:00,61.9,0.05,100,144.6
2017-06-16T18:00:00,61,0.09,100,99.6
2017-06-16T19:00:00,61.2,0.02,100,38
2017-06-16T20:00:00,61.7,0.04,100,0.6
2017-06-16T21:00:00,61.7,0.02,100,0
2017-06-16T22:00:00,61.9,0.14,98.1,0
2017-06-16T23:00:00,63,0.01,100,0
2017-06-17T00:00:00,63,0,98.1,0
2017-06-17T01:00:00,64.4,0,100,0
2017-06-17T02:00:00,64.4,0,100,0
2017-06-17T03:00:00,64.4,0.07,95.2,0
2017-06-17T04:00:00,64.1,0.03,100,0
2017-06-17T05:00:00,64.4,0.07,100,14.5
2017-06-17T06:00:00,64.9,0.02,100,71.1
2017-06-17T07:00:00,62.8,0.01,100,138.2
2017-06-17T08:00:00,63.3,0.01,84,260
2017-06-17T09:00:00,63.9,0.01,84,400
2017-06-17T10:00:00,65.6,0,100,556.8
2017-06-17T11:00:00,65.2,0,100,592
2017-06-17T12:00:00,67.6,0,98.1,556
2017-06-17T13:00:00,68.2,0,98.1,495.5
2017-06-17T14:00:00,68.3,0,98.1,511.6
2017-06-17T15:00:00,67.9,0,100,489.8
2017-06-17T16:00:00,67.8,0,100,420.8
2017-06-17T17:00:00,67.9,0,98.9,315.4
2017-06-17T18:00:00,68.1,0,95.6,169.1
2017-06-17T19:00:00,67,0,76.9,58.1
2017-06-17T20:00:00,68.1,0,48.1,1.1
2017-06-17T21:00:00,66.3,0,71.9,0
2017-06-17T22:00:00,65.8,0,78.4,0
2017-06-17T23:00:00,65.2,0,100,0
2017-06-18T00:00:00,65.2,0,100,0
2017-06-18T01:00:00,65.2,0,74.8,0
2017-06-18T02:00:00,64.7,0,84,0
2017-06-18T03:00:00,64.6,0,48.8,0
2017-06-18T04:00:00,65.5,0,48.8,0
2017-06-18T05:00:00,66.1,0,48.8,27.8
2017-06-18T06:00:00,66.1,0.01,74.8,167.5
2017-06-18T07:00:00,66.8,0,100,347.8
2017-06-18T08:00:00,67.3,0,100,524
2017-06-18T09:00:00,68.2,0,100,649.3
2017-06-18T10:00:00,69,0,100,803.5
2017-06-18T11:00:00,71,0,100,876
2017-06-18T12:00:00,72.5,0,100,861.3
2017-06-18T13:00:00,73.7,0,100,901.5
2017-06-18T14:00:00,73.7,0,97.1,851.3
2017-06-18T15:00:00,74,0,94.5,740
2017-06-18T16:00:00,71.3,0,100,585.5
2017-06-18T17:00:00,69.5,0,100,408.6
2017-06-18T18:00:00,68.8,0,100,238.3
2017-06-18T19:00:00,67.7,0,84,76.2
2017-06-18T20:00:00,68,0,84,1.2
2017-06-18T21:00:00,68.6,0,100,0
2017-06-18T22:00:00,68.8,0,100,0
2017-06-18T23:00:00,68.4,0,100,0
2017-06-19T00:00:00,68,0,90.5,0
2017-06-19T01:00:00,68.3,0,65.6,0
2017-06-19T02:00:00,68.4,0,84,0
2017-06-19T03:00:00,67.6,0,100,0
2017-06-19T04:00:00,67.8,0,100,0
2017-06-19T05:00:00,67.6,0,100,23.5
2017-06-19T06:00:00,68.2,0,84,152.8
2017-06-19T07:00:00,67.6,0,84,333.9
2017-06-19T08:00:00,68,0,100,517
2017-06-19T09:00:00,69,0,100,679
2017-06-19T10:00:00,69.7,0,100,796.8
2017-06-19T11:00:00,71,0,100,830
2017-06-19T12:00:00,73,0,100,861.3
2017-06-19T13:00:00,73.2,0,100,885.8
2017-06-19T14:00:00,72.8,0,100,834
2017-06-19T15:00:00,72.7,0,100,721
2017-06-19T16:00:00,74,0,94.5,576.8
2017-06-19T17:00:00,71.4,0,97.1,416
2017-06-19T18:00:00,71.1,0,100,239.8
2017-06-19T19:00:00,70.8,0,100,75.8
2017-06-19T20:00:00,70.2,0,100,1.1
2017-06-19T21:00:00,69.7,0,100,0
2017-06-19T22:00:00,69.7,0,100,0
2017-06-19T23:00:00,69.2,0,100,0
2017-06-20T00:00:00,68.6,0,100,0
2017-06-20T01:00:00,68.2,0,85.5,0
2017-06-20T02:00:00,67.7,0,92.6,0
2017-06-20T03:00:00,67.9,0,94.5,0
2017-06-20T04:00:00,67.6,0,89,0
2017-06-20T05:00:00,68.2,0,94.5,6.6
2017-06-20T06:00:00,67.5,0,84,37.3
2017-06-20T07:00:00,67.1,0.03,100,73.1
2017-06-20T08:00:00,67.8,0,100,146.3
2017-06-20T09:00:00,68.6,0,100,291.3
2017-06-20T10:00:00,69.2,0,100,685.3
2017-06-20T11:00:00,69.9,0,100,862.3
2017-06-20T12:00:00,71.9,0,50.1,932.8
2017-06-20T13:00:00,73.4,0,48.1,913.3
2017-06-20T14:00:00,76,0,32.1,864.3
2017-06-20T15:00:00,76.4,0,32.1,759
2017-06-20T16:00:00,76.7,0,8.8,601
2017-06-20T17:00:00,77.7,0,0,424
2017-06-20T18:00:00,77.3,0,0,243.3
2017-06-20T19:00:00,75.4,0,0,78.8
2017-06-20T20:00:00,72.4,0,0,1.2
2017-06-20T21:00:00,69.9,0,0,0
2017-06-20T22:00:00,67.8,0,0,0
2017-06-20T23:00:00,65.9,0,0,0
2017-06-21T00:00:00,64.4,0,0,0
2017-06-21T01:00:00,63.8,0,0,0
2017-06-21T02:00:00,62.8,0,0,0
2017-06-21T03:00:00,62.2,0,0,0
2017-06-21T04:00:00,61.2,0,5,0
2017-06-21T05:00:00,62,0,9,17.6
2017-06-21T06:00:00,62.8,0,44.6,78.5
2017-06-21T07:00:00,64.8,0,73.3,135.5
2017-06-21T08:00:00,67,0,25.8,204.1
2017-06-21T09:00:00,72.9,0,22.5,354.1
2017-06-21T10:00:00,75.6,0,28.6,690.3
2017-06-21T11:00:00,78,0,0,891.5
2017-06-21T12:00:00,79.6,0,5,968
2017-06-21T13:00:00,80.5,0,12.7,952.3
2017-06-21T14:00:00,80,0,19,875.8
2017-06-21T15:00:00,80.1,0,13.8,728.8
2017-06-21T16:00:00,80.1,0,13.8,571.3
2017-06-21T17:00:00,78.3,0,22.8,334.9
2017-06-21T18:00:00,76.9,0,24.9,157.8
2017-06-21T19:00:00,74.4,0,40.3,60.5
2017-06-21T20:00:00,72.4,0,40.3,1
2017-06-21T21:00:00,71,0,21.5,0
2017-06-21T22:00:00,69.5,0,38.2,0
2017-06-21T23:00:00,66.2,0,38.7,0
2017-06-22T00:00:00,63.7,0,13.8,0
2017-06-22T01:00:00,64.2,0,16,0
2017-06-22T02:00:00,63.2,0,21,0
2017-06-22T03:00:00,61.8,0,0,0
2017-06-22T04:00:00,59.8,0,0,0
2017-06-22T05:00:00,59.4,0,0,30.7
2017-06-22T06:00:00,60,0,0,178.9
2017-06-22T07:00:00,65.5,0,0,366.5
2017-06-22T08:00:00,69.4,0,0,553.8
2017-06-22T09:00:00,72.3,0,0,723.5
2017-06-22T10:00:00,73.6,0,0,859.5
2017-06-22T11:00:00,75.8,0,0,947.8
2017-06-22T12:00:00,76.5,0,0,986.8
2017-06-22T13:00:00,77.5,0,13.8,971.3
2017-06-22T14:00:00,77.8,0,0,901.3
2017-06-22T15:00:00,78.2,0,24.9,782
2017-06-22T16:00:00,78.5,0,0,624.8
2017-06-22T17:00:00,78.5,0,0,441.3
2017-06-22T18:00:00,76.3,0,0,249.9
2017-06-22T19:00:00,73.2,0,0,75.4
2017-06-22T20:00:00,71,0,0,0.9
2017-06-22T21:00:00,70.4,0,24.9,0
2017-06-22T22:00:00,70.4,0,76.6,0
2017-06-22T23:00:00,69.2,0,98.1,0
2017-06-23T00:00:00,68.4,0,22.8,0
2017-06-23T01:00:00,67.1,0,6.8,0
2017-06-23T02:00:00,66.3,0,0,0
2017-06-23T03:00:00,67.3,0,48.1,0
2017-06-23T04:00:00,66.2,0,26.8,0
2017-06-23T05:00:00,66.2,0,100,23.1
2017-06-23T06:00:00,66.8,0,90.8,140.8
2017-06-23T07:00:00,67.4,0,100,290.6
2017-06-23T08:00:00,68.8,0,100,439.9
2017-06-23T09:00:00,69.2,0,100,489
2017-06-23T10:00:00,73.5,0,34.8,618.8
2017-06-23T11:00:00,78.8,0,8.8,604.3
2017-06-23T12:00:00,80.6,0,0,651.8
2017-06-23T13:00:00,81.2,0,0,597.3
2017-06-23T14:00:00,80.4,0,0,447.6
2017-06-23T15:00:00,79.4,0,0,325
2017-06-23T16:00:00,78.1,0,0,256.9
2017-06-23T17:00:00,75.3,0,51.2,194.7
2017-06-23T18:00:00,73.9,0,78.5,117.2
2017-06-23T19:00:00,71.3,0,100,55.2
2017-06-23T20:00:00,71.1,0,100,0.8
2017-06-23T21:00:00,70.6,0,100,0
2017-06-23T22:00:00,70.3,0,100,0
2017-06-23T23:00:00,70.6,0,100,0
2017-06-24T00:00:00,71.2,0,100,0
2017-06-24T01:00:00,71.2,0,100,0
2017-06-24T02:00:00,71,0,100,0
2017-06-24T03:00:00,70.9,0,98,0
2017-06-24T04:00:00,70.6,0,100,0
2017-06-24T05:00:00,70.6,0,90.6,18.9
2017-06-24T06:00:00,70.9,0,91,153.3
2017-06-24T07:00:00,71.5,0,69.5,318.5
2017-06-24T08:00:00,73.2,0,48.9,452.5
2017-06-24T09:00:00,72.5,0,82.1,490.9
